Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:13,Data class,Data type,Answers
c14d2c8b-a81d-40fa-8dfa-6db4548a71ab,,Date/Time of Update,"","","","","",Question,Datetime,""
5ec9c266-a033-4e4d-986f-83d87889c89e,,Patient Update,"","","","","",Misc,N/A,""
a0f2f1ea-d1b1-4476-af9d-20cdc3e63e1f,,Carer Update,"","","","","",Misc,N/A,""
b50e7a3c-b297-4f9d-b6d3-4df20c826839,,Doctor Update,"","","","","",Misc,N/A,""
f8ae92af-ce4c-4fe9-9b3c-5a12260337f7,,Pharmacy Update,"","","","","",Misc,N/A,""
d4450859-80b3-4704-8548-62c90994f889,,Laboratory Update,"","","","","",Misc,N/A,""
48ce7d65-f442-4eaf-85fe-0c031a7b6e09,,Other Healthcare Professional Update,"","","","","",Misc,N/A,""
fc1c806a-b8a8-4668-8e9b-6117f5aca1fe,,Other Professional Update (Please specify),Others Specify,"","","","",Misc,N/A,""
a92aca40-8f13-45bc-a27c-ff2cddd521ad,,Source of Update,,,,,,Question,Coded,"Patient Update ; 
Carer Update ; 
Doctor Update ; 
Pharmacy Update ; 
Laboratory Update ; 
Other Healthcare Professional Update ; 
Other Professional Update (Please specify)"
aa240fc1-9e04-4848-a7f4-72c7ec6621b1,,Other Professional Update (Specify),Specify,"","","","",Question,Text,""
35bf0fa5-7e39-4942-80da-4fd1923dafec,,Content of Update,"","","","","",Question,Text,""
e957068e-cd9d-4dab-b25a-70bf6f7cdfca,,No immediate Action Needed,"","","","","",Misc,N/A,""
f55c33eb-3fb8-4290-b106-98a9af3e5892,,Call Patient/Carer Immediately,"","","","","",Misc,N/A,""
988e4f1a-0b56-4bf6-927e-c6bcf3e7b4ad,,Arrange OPD Review,"","","","","",Misc,N/A,""
934abfc1-f27e-4f40-9962-96921e83417c,,Inform Patient's Doctor,"","","","","",Misc,N/A,""
722f320c-7427-4d0b-9325-b2a9cc10a9dc,,Inform Key Nurse,"","","","","",Misc,N/A,""
5d4dba9a-ce3a-4541-a61d-2b23f07b34b5,,Call The Pharmacist,"","","","","",Misc,N/A,""
38c7cdf2-03a5-4a27-8418-0c469fe2f4d8,,Call The Laboratory,"","","","","",Misc,N/A,""
6cf420e7-7044-4e15-a4bd-458699effedb,,Other Following Action (please specify),Others Specify,"","","","",Misc,N/A,""
6ac9dd32-fb3d-41c6-999d-e375802a60ac,,Action Following Update,,,,,,Question,Coded,"No immediate Action Needed ; 
Call Patient/Carer Immediately ; 
Arrange OPD Review ; 
Inform Patient's Doctor ; 
Inform Key Nurse ; 
Call The Pharmacist ; 
Call The Laboratory ; 
Other Following Action (please specify)"
6674e612-b736-4bbb-a378-3a93ec42aafb,,Other Action (Specify),Specify,"","","","",Question,Text,""